ID,Marque,Type_Vehicule,Age_Vehicule,Valeur_Vehicule_DT,Kilometrage,Chevaux_Fiscaux,Place_Parking,Voiture_Entreprise,Age_Conducteur,Annees_Experience,Nombre_Accidents,Ratio_Accidents_Experience,Score_Vehicule,Score_Conducteur,Type_Vehicule_Classe,Type_Conducteur_Classe,Assurance_Recommandee
440,Porsche,Voiture populaire,12,25198,237312,24,True,True,50,16,3,0.188,2.6,2.0,Medium Cost,À risque,Tiers
441,Chery,Berline executive,12,3610,243921,9,True,True,21,2,0,0.0,1.6,3.2,Low Cost,Expert,Tiers Plus
442,Hyundai,Citadine,7,6809,157784,4,False,True,29,10,0,0.0,1.2,3.6,Low Cost,Expert,Tiers Plus
443,Ferrari,Voiture de luxe,1,588995,10365,20,True,False,21,3,1,0.333,4.3,1.2,High Cost,À risque,Tiers Plus
444,Jaguar,SUV,10,158782,129247,24,False,False,51,7,0,0.0,3.3,3.8,High Cost,Expert,Tout Risque
445,Peugeot,Voiture de luxe,7,30504,97562,9,False,False,37,17,1,0.059,2.25,3.2,Medium Cost,Expert,Tout Risque
446,Hyundai,Citadine,5,7408,84271,6,True,False,45,9,1,0.111,1.85,2.4,Low Cost,Modéré,Tiers
447,Audi,Sportive,4,89698,66659,14,False,True,65,26,0,0.0,3.15,3.4,High Cost,Expert,Tout Risque
448,Ford,Berline compact,10,5405,81966,9,False,False,53,8,0,0.0,1.8,3.8,Low Cost,Expert,Tiers Plus
449,Bentley,Berline executive,6,67475,150206,16,False,True,46,6,0,0.0,2.95,3.6,Medium Cost,Expert,Tout Risque
450,Ferrari,Berline executive,3,232195,19228,16,True,False,43,13,1,0.077,4.0,3.2,High Cost,Expert,Tout Risque
451,Peugeot,Sportive,12,20604,130968,10,True,False,67,0,0,0.0,2.1,3.6,Medium Cost,Expert,Tout Risque
452,BMW,Break familial,12,27160,308309,14,True,True,28,8,0,0.0,2.4,3.6,Medium Cost,Expert,Tout Risque
453,Fiat,SUV,9,11108,124701,9,False,False,22,2,0,0.0,1.6,4.0,Low Cost,Expert,Tiers Plus
454,Peugeot,Berline compact,4,16640,60845,7,False,False,24,6,2,0.333,2.05,1.6,Medium Cost,À risque,Tiers
455,Renault,Berline compact,9,16512,144967,8,False,False,37,14,1,0.071,1.8,3.2,Low Cost,Expert,Tiers Plus
456,Mercedes,SUV,12,36095,253122,12,False,True,63,27,1,0.037,2.15,2.6,Medium Cost,Modéré,Tiers Plus
457,Hyundai,Voiture de luxe,10,7963,148280,7,False,True,64,23,2,0.087,1.65,2.6,Low Cost,Modéré,Tiers
458,Renault,Berline executive,14,19323,251808,8,True,True,59,3,0,0.0,1.9,3.4,Low Cost,Expert,Tiers Plus
459,Volkswagen,Sportive,8,31145,73497,12,False,False,48,29,1,0.034,2.35,3.2,Medium Cost,Expert,Tout Risque
460,Lexus,Citadine,8,21726,60797,13,True,False,74,9,0,0.0,2.45,3.6,Medium Cost,Expert,Tout Risque
461,Chevrolet,SUV,6,5377,58458,9,False,False,21,3,0,0.0,1.7,3.6,Low Cost,Expert,Tiers Plus
462,Toyota,Citadine,2,36703,43913,5,False,True,40,17,2,0.118,2.4,2.0,Medium Cost,À risque,Tiers
463,Infiniti,Break familial,4,38271,72004,13,False,False,65,46,2,0.043,2.7,3.0,Medium Cost,Modéré,Tiers Plus
464,Hyundai,Voiture de luxe,6,12356,70872,9,False,False,72,30,1,0.033,1.8,2.8,Low Cost,Modéré,Tiers
465,Porsche,Voiture populaire,10,43583,172282,20,True,True,49,9,0,0.0,2.8,3.6,Medium Cost,Expert,Tout Risque
466,Nissan,Berline executive,0,63745,0,9,False,False,55,0,0,0.0,3.0,3.8,High Cost,Expert,Tout Risque
467,Ferrari,Berline compact,2,123689,29460,19,True,False,32,6,0,0.0,4.1,4.0,High Cost,Expert,Tout Risque
468,Volvo,Citadine,0,86028,0,9,True,True,74,16,0,0.0,3.4,3.2,High Cost,Expert,Tout Risque
469,Chevrolet,Berline executive,8,12326,72230,8,False,False,66,11,1,0.091,1.7,2.8,Low Cost,Modéré,Tiers
470,Chevrolet,Berline compact,12,5677,209180,5,False,False,53,31,0,0.0,1.15,3.8,Low Cost,Expert,Tiers Plus
471,Chery,Voiture de luxe,3,8208,25408,10,False,False,50,13,2,0.154,2.1,2.4,Medium Cost,Modéré,Tiers Plus
472,Volvo,Sportive,6,70738,69731,13,False,False,66,39,0,0.0,2.95,3.6,Medium Cost,Expert,Tout Risque
473,Dacia,Berline executive,0,25215,0,10,False,True,29,10,1,0.1,2.45,2.8,Medium Cost,Modéré,Tiers Plus
474,Audi,SUV,8,54307,67841,17,True,False,68,36,0,0.0,2.9,3.6,Medium Cost,Expert,Tout Risque
475,Citroën,Break familial,13,13877,193207,7,True,False,69,15,0,0.0,1.75,3.6,Low Cost,Expert,Tiers Plus
476,Chery,Voiture de luxe,0,17119,0,11,True,True,29,0,1,1.0,2.6,1.2,Medium Cost,À risque,Tiers
477,Fiat,Voiture populaire,4,4686,91169,7,True,True,50,18,1,0.056,1.85,2.8,Low Cost,Modéré,Tiers
478,BMW,Berline executive,10,47666,146790,18,False,True,30,3,1,0.333,2.5,1.2,Medium Cost,À risque,Tiers
479,Audi,Break familial,14,29729,149892,13,False,False,37,17,2,0.118,2.2,2.4,Medium Cost,Modéré,Tiers Plus
480,Bentley,Citadine,8,70571,206115,21,True,True,27,0,0,0.0,3.05,3.6,High Cost,Expert,Tout Risque
481,Lexus,Berline executive,9,39750,77443,15,False,False,58,26,1,0.038,2.6,3.0,Medium Cost,Modéré,Tiers Plus
482,Ford,Berline compact,6,26679,52566,5,False,False,19,1,0,0.0,2.1,3.6,Medium Cost,Expert,Tout Risque
483,Lexus,Berline executive,5,37988,93925,18,False,False,55,19,0,0.0,2.7,3.8,Medium Cost,Expert,Tout Risque
484,Renault,Break familial,5,28309,72906,7,False,False,47,20,0,0.0,2.3,4.0,Medium Cost,Expert,Tout Risque
485,Peugeot,SUV,2,39301,36958,10,False,True,49,15,1,0.067,2.65,2.8,Medium Cost,Modéré,Tiers Plus
486,Maserati,Sportive,10,57262,113386,26,False,False,42,9,1,0.111,2.9,2.4,Medium Cost,Modéré,Tiers Plus
487,Toyota,SUV,10,19342,228384,13,False,True,53,33,0,0.0,1.85,3.4,Low Cost,Expert,Tiers Plus
488,Infiniti,Voiture de luxe,12,29370,102823,15,False,False,53,18,3,0.167,2.4,2.2,Medium Cost,À risque,Tiers
489,Ferrari,Berline compact,3,270702,68126,21,False,True,23,5,0,0.0,3.5,3.6,High Cost,Expert,Tout Risque
490,Volkswagen,Voiture populaire,1,36977,13827,8,False,False,42,14,0,0.0,2.55,4.0,Medium Cost,Expert,Tout Risque
491,Jaguar,SUV,12,164506,241832,25,False,True,45,16,1,0.062,3.0,2.8,High Cost,Modéré,Tout Risque
492,Renault,SUV,8,9729,135234,10,False,True,66,22,0,0.0,1.9,3.2,Low Cost,Expert,Tiers Plus
493,Kia,Break familial,3,9431,42494,3,True,True,22,2,0,0.0,2.0,3.6,Low Cost,Expert,Tiers Plus
494,Land Rover,Break familial,7,155664,127808,13,True,True,50,10,0,0.0,3.5,3.6,High Cost,Expert,Tout Risque
495,Kia,Voiture de luxe,13,6103,273937,9,False,False,73,45,0,0.0,1.4,3.6,Low Cost,Expert,Tiers Plus
496,Kia,Berline compact,5,11922,114572,5,True,True,68,45,0,0.0,1.95,3.2,Low Cost,Expert,Tiers Plus
497,Audi,Sportive,8,39012,131796,12,False,True,45,0,1,1.0,2.55,1.2,Medium Cost,À risque,Tiers
498,Ferrari,SUV,8,177997,78318,15,False,False,55,35,1,0.029,3.4,3.0,High Cost,Modéré,Tout Risque
499,Jaguar,Citadine,10,56228,252353,23,True,True,39,10,0,0.0,2.8,3.6,Medium Cost,Expert,Tout Risque
500,Lexus,Citadine,12,20360,132334,12,True,False,41,3,0,0.0,2.1,4.0,Medium Cost,Expert,Tout Risque
501,Chery,Citadine,0,13325,0,4,False,False,55,37,0,0.0,1.9,3.8,Low Cost,Expert,Tiers Plus
502,Chery,SUV,12,9293,178150,6,True,True,20,0,1,1.0,1.55,0.8,Low Cost,À risque,Tiers
503,Volkswagen,Voiture populaire,2,38942,15905,8,False,False,44,23,1,0.043,2.55,3.2,Medium Cost,Expert,Tout Risque
504,BMW,Sportive,8,62155,84431,13,True,False,63,31,2,0.065,3.15,3.0,High Cost,Modéré,Tout Risque
505,Citroën,Break familial,4,20547,41133,6,True,False,33,0,0,0.0,2.35,4.0,Medium Cost,Expert,Tout Risque
506,Chery,Sportive,12,8417,224553,7,False,True,39,8,1,0.125,1.35,2.0,Low Cost,À risque,Tiers
507,Dacia,Berline executive,9,6755,221512,10,False,True,47,24,0,0.0,1.5,3.6,Low Cost,Expert,Tiers Plus
508,Chery,Voiture de luxe,8,8606,84833,10,False,False,65,22,0,0.0,1.7,3.8,Low Cost,Expert,Tiers Plus
509,Hyundai,Voiture de luxe,6,18775,84143,6,True,True,35,0,0,0.0,1.95,3.6,Low Cost,Expert,Tiers Plus
510,Chevrolet,Sportive,13,5663,207856,8,False,True,27,2,0,0.0,1.4,3.6,Low Cost,Expert,Tiers Plus
511,Dacia,SUV,8,4952,132341,8,False,True,64,18,0,0.0,1.6,3.4,Low Cost,Expert,Tiers Plus
512,BMW,SUV,13,30220,244746,14,False,False,50,18,1,0.056,2.2,3.2,Medium Cost,Expert,Tout Risque
513,Infiniti,Citadine,7,25488,84437,9,False,False,30,5,0,0.0,2.25,4.0,Medium Cost,Expert,Tout Risque
514,Maserati,Break familial,12,102235,244680,24,True,True,70,28,0,0.0,2.95,3.2,Medium Cost,Expert,Tout Risque
515,BMW,SUV,7,67550,86036,15,True,False,24,1,0,0.0,3.05,4.0,High Cost,Expert,Tout Risque
516,Land Rover,SUV,4,276235,67272,24,True,False,20,2,1,0.5,3.9,1.2,High Cost,À risque,Tiers Plus
517,Toyota,Break familial,10,17301,222635,8,True,True,71,27,1,0.037,2.0,2.4,Low Cost,Modéré,Tiers
518,Mercedes,Berline compact,7,39009,136613,8,False,False,68,40,1,0.025,2.35,2.8,Medium Cost,Modéré,Tiers Plus
519,Audi,Sportive,12,53919,194415,11,True,True,20,2,0,0.0,2.55,3.2,Medium Cost,Expert,Tout Risque
520,Land Rover,Voiture populaire,13,26625,133498,13,False,False,39,5,0,0.0,2.4,4.0,Medium Cost,Expert,Tout Risque
521,Hyundai,Voiture populaire,8,5728,183335,6,True,True,66,44,0,0.0,1.55,3.2,Low Cost,Expert,Tiers Plus
522,Infiniti,Berline compact,12,28594,184775,12,True,False,46,2,0,0.0,2.35,4.0,Medium Cost,Expert,Tout Risque
523,Volvo,Sportive,5,67826,113754,14,True,True,69,10,1,0.1,3.35,2.4,High Cost,Modéré,Tout Risque
524,Maserati,Sportive,10,170402,160397,16,True,False,26,1,0,0.0,3.6,4.0,High Cost,Expert,Tout Risque
525,Lamborghini,Citadine,14,85387,204174,15,False,True,54,31,1,0.032,2.55,2.6,Medium Cost,Modéré,Tiers Plus
526,Volvo,Voiture de luxe,0,115260,0,12,False,True,45,8,0,0.0,3.4,3.6,High Cost,Expert,Tout Risque
527,Lexus,Sportive,5,86222,114998,12,False,True,38,3,1,0.333,3.0,1.2,Medium Cost,À risque,Tiers
528,Nissan,SUV,4,30479,86354,9,True,True,28,5,0,0.0,2.65,3.6,Medium Cost,Expert,Tout Risque
529,Infiniti,Voiture populaire,7,41934,65875,10,True,False,47,11,1,0.091,2.65,3.2,Medium Cost,Expert,Tout Risque
530,Toyota,Voiture populaire,10,10339,162550,5,True,True,67,11,0,0.0,1.85,3.2,Low Cost,Expert,Tiers Plus
531,Mercedes,Citadine,6,43401,103135,13,False,False,64,2,1,0.5,2.3,1.4,Medium Cost,À risque,Tiers
532,Chery,Berline compact,13,5536,135552,6,False,False,63,12,1,0.083,1.25,3.0,Low Cost,Modéré,Tiers
533,Nissan,Sportive,6,46755,70085,12,False,False,41,19,1,0.053,2.35,3.2,Medium Cost,Expert,Tout Risque
534,Hyundai,Berline compact,3,9483,55260,6,False,True,54,21,0,0.0,1.75,3.4,Low Cost,Expert,Tiers Plus
535,Chery,Voiture de luxe,4,22988,98646,10,True,True,23,0,1,1.0,2.2,1.2,Medium Cost,À risque,Tiers
536,Dacia,Citadine,10,6360,150047,7,False,False,19,1,0,0.0,1.25,3.6,Low Cost,Expert,Tiers Plus
537,Land Rover,Voiture de luxe,5,389654,112410,21,False,True,60,30,2,0.067,3.6,2.6,High Cost,Modéré,Tout Risque
538,Peugeot,Sportive,12,12509,291555,13,False,True,32,12,0,0.0,1.75,3.6,Low Cost,Expert,Tiers Plus
539,Citroën,Break familial,2,47218,28538,7,True,True,71,10,0,0.0,2.9,3.2,Medium Cost,Expert,Tout Risque
540,Lamborghini,Voiture de luxe,11,41243,240373,17,True,True,31,7,1,0.143,2.9,2.0,Medium Cost,À risque,Tiers
541,Renault,Voiture populaire,3,10782,43401,7,True,True,20,0,1,1.0,2.25,0.8,Medium Cost,À risque,Tiers
542,BMW,Citadine,9,31304,168184,11,True,True,36,10,1,0.1,2.45,2.8,Medium Cost,Modéré,Tiers Plus
543,Nissan,Sportive,12,24734,224049,12,True,True,28,1,0,0.0,2.0,3.6,Low Cost,Expert,Tiers Plus
544,Ferrari,Citadine,4,234404,56266,16,True,False,21,1,1,1.0,3.7,1.2,High Cost,À risque,Tiers Plus
545,Peugeot,Berline executive,3,51532,75837,11,False,True,44,22,2,0.091,2.45,2.8,Medium Cost,Modéré,Tiers Plus
546,Volkswagen,Berline compact,7,8996,97585,9,True,False,42,8,0,0.0,2.1,4.0,Medium Cost,Expert,Tout Risque
547,Volkswagen,SUV,5,19118,79372,10,True,True,29,5,0,0.0,2.5,3.6,Medium Cost,Expert,Tout Risque
548,Jaguar,Voiture de luxe,14,160540,272089,16,False,True,72,42,0,0.0,3.1,3.2,High Cost,Expert,Tout Risque
549,Toyota,Voiture de luxe,7,22933,143225,10,False,False,30,1,0,0.0,2.0,4.0,Low Cost,Expert,Tiers Plus
550,Audi,Berline compact,5,59013,53889,10,False,False,57,21,1,0.048,2.65,3.0,Medium Cost,Modéré,Tiers Plus
551,Chery,Sportive,12,12417,228960,7,True,True,60,6,0,0.0,1.65,3.4,Low Cost,Expert,Tiers Plus
552,Volkswagen,Berline compact,10,15355,246331,7,False,True,41,8,2,0.25,1.65,2.0,Low Cost,À risque,Tiers
553,Lexus,Voiture de luxe,3,108980,49784,12,False,True,74,7,2,0.286,3.1,1.6,High Cost,À risque,Tiers Plus
554,Nissan,Break familial,4,22873,58994,8,False,True,70,11,2,0.182,2.1,1.6,Medium Cost,À risque,Tiers
555,Ford,Voiture populaire,9,12488,117478,7,False,False,24,3,0,0.0,1.65,4.0,Low Cost,Expert,Tiers Plus
556,Hyundai,Break familial,10,2705,109287,4,True,False,32,4,0,0.0,1.7,4.0,Low Cost,Expert,Tiers Plus
557,Nissan,Citadine,4,16145,92446,8,True,True,57,10,0,0.0,2.2,3.4,Medium Cost,Expert,Tout Risque
558,Lamborghini,Break familial,7,60141,116455,19,False,True,56,27,0,0.0,2.95,3.4,Medium Cost,Expert,Tout Risque
559,Ford,SUV,12,9406,211556,10,True,True,21,2,0,0.0,1.9,3.2,Low Cost,Expert,Tiers Plus
560,Renault,Voiture populaire,5,25815,121879,6,False,True,28,4,0,0.0,2.1,3.6,Medium Cost,Expert,Tout Risque
561,Maserati,Break familial,9,94391,180594,19,False,True,65,22,0,0.0,2.85,3.4,Medium Cost,Expert,Tout Risque
562,Lexus,Berline executive,6,44725,100355,17,False,False,51,8,0,0.0,2.5,3.8,Medium Cost,Expert,Tout Risque
563,BMW,Berline executive,8,27690,120973,12,False,False,32,14,0,0.0,2.45,4.0,Medium Cost,Expert,Tout Risque
564,Toyota,Sportive,12,11605,310480,8,False,True,35,12,1,0.083,1.7,2.8,Low Cost,Modéré,Tiers
565,Lamborghini,Sportive,14,141660,290009,21,False,True,74,34,1,0.029,3.1,2.4,High Cost,Modéré,Tout Risque
566,Toyota,Berline executive,6,26136,134294,9,False,True,57,12,2,0.167,2.15,1.8,Medium Cost,À risque,Tiers
567,Infiniti,Break familial,0,111261,0,10,True,True,43,13,1,0.077,3.5,2.8,High Cost,Modéré,Tout Risque
568,Citroën,Voiture de luxe,3,52446,76928,7,False,True,55,37,2,0.054,2.5,2.6,Medium Cost,Modéré,Tiers Plus
569,Renault,Berline executive,4,45841,35863,12,True,False,39,5,2,0.4,2.75,1.6,Medium Cost,À risque,Tiers
570,Infiniti,Break familial,7,56980,96032,10,False,False,29,0,0,0.0,2.35,4.0,Medium Cost,Expert,Tout Risque
571,Citroën,Sportive,12,12099,154180,9,False,False,38,19,0,0.0,1.7,4.0,Low Cost,Expert,Tiers Plus
572,Chery,Berline executive,5,15977,115100,11,True,True,66,19,0,0.0,2.1,3.2,Medium Cost,Expert,Tout Risque
573,Bentley,Sportive,0,312634,0,14,True,True,34,7,2,0.286,4.3,2.0,High Cost,À risque,Tiers Plus
574,Volvo,Citadine,12,15501,304031,10,True,True,30,6,0,0.0,2.0,3.6,Low Cost,Expert,Tiers Plus
575,Ferrari,Citadine,11,61930,254395,18,False,True,35,16,1,0.062,2.55,2.8,Medium Cost,Modéré,Tiers Plus
576,Jaguar,Break familial,12,103477,278800,24,True,True,35,12,1,0.083,2.95,2.8,Medium Cost,Modéré,Tiers Plus
577,Dacia,Break familial,13,6644,118075,5,False,False,26,3,0,0.0,1.25,4.0,Low Cost,Expert,Tiers Plus
578,Fiat,Sportive,14,8923,216731,9,False,True,69,8,1,0.125,1.4,1.6,Low Cost,À risque,Tiers
579,Dacia,Voiture de luxe,0,17964,0,8,True,True,49,14,0,0.0,2.6,3.6,Medium Cost,Expert,Tout Risque
580,Volvo,SUV,12,22225,184069,12,False,True,18,0,0,0.0,1.9,3.2,Low Cost,Expert,Tiers Plus
581,Volvo,Voiture de luxe,9,24393,168346,14,True,True,34,0,0,0.0,2.55,3.6,Medium Cost,Expert,Tout Risque
582,Kia,Berline compact,12,4478,291335,4,True,True,62,7,1,0.143,1.4,1.8,Low Cost,À risque,Tiers
583,Porsche,SUV,2,200979,21337,20,False,False,57,18,1,0.056,3.9,3.0,High Cost,Modéré,Tout Risque
584,Lamborghini,Voiture de luxe,10,135660,156263,20,True,False,54,3,0,0.0,3.6,3.8,High Cost,Expert,Tout Risque
585,Nissan,Sportive,0,26668,0,8,True,True,49,16,1,0.062,3.15,2.8,High Cost,Modéré,Tout Risque
586,Volkswagen,Voiture populaire,6,12956,115366,7,True,True,52,27,0,0.0,1.95,3.4,Low Cost,Expert,Tiers Plus
587,Nissan,Voiture de luxe,1,79452,18357,11,False,False,61,26,0,0.0,3.1,3.8,High Cost,Expert,Tout Risque
588,Fiat,Citadine,7,6178,147997,7,True,True,51,2,0,0.0,1.65,3.4,Low Cost,Expert,Tiers Plus
589,Mercedes,Voiture de luxe,13,44753,191375,11,False,True,57,9,0,0.0,2.25,3.4,Medium Cost,Expert,Tout Risque
590,Volvo,Citadine,7,44399,166662,9,True,True,66,14,0,0.0,2.45,3.2,Medium Cost,Expert,Tout Risque
591,Maserati,Sportive,8,122130,175698,25,False,True,48,17,2,0.118,3.3,2.0,High Cost,À risque,Tiers Plus
592,Hyundai,SUV,6,7519,105245,6,True,True,47,2,0,0.0,1.85,3.6,Low Cost,Expert,Tiers Plus
593,Ford,Citadine,8,6550,194861,8,True,True,50,14,2,0.143,1.9,2.0,Low Cost,À risque,Tiers
594,Ferrari,Voiture de luxe,13,99858,174286,18,True,False,23,0,0,0.0,3.15,4.0,High Cost,Expert,Tout Risque
595,Chery,Break familial,11,2931,184683,4,False,False,52,21,1,0.048,1.1,3.0,Low Cost,Modéré,Tiers
596,Nissan,Berline compact,2,15528,25097,8,True,False,72,10,1,0.1,2.7,2.8,Medium Cost,Modéré,Tiers Plus
597,Fiat,Voiture populaire,4,9771,60739,7,False,True,73,44,1,0.023,1.65,2.4,Low Cost,Modéré,Tiers
598,Hyundai,Berline executive,4,19287,36663,7,False,False,45,11,0,0.0,1.85,4.0,Low Cost,Expert,Tiers Plus
599,Dacia,SUV,9,9934,164354,9,False,False,47,8,0,0.0,1.5,4.0,Low Cost,Expert,Tiers Plus
600,Peugeot,Berline executive,9,18018,100673,10,False,False,72,21,0,0.0,1.9,3.6,Low Cost,Expert,Tiers Plus
601,Chery,Voiture de luxe,14,12573,150614,7,True,False,32,0,0,0.0,1.65,4.0,Low Cost,Expert,Tiers Plus
602,Lamborghini,Break familial,2,123471,36419,19,True,True,34,16,1,0.062,4.0,2.8,High Cost,Modéré,Tout Risque
603,Citroën,Berline compact,12,10237,180195,5,False,True,62,5,0,0.0,1.45,3.4,Low Cost,Expert,Tiers Plus
604,Bentley,Voiture de luxe,13,98999,181938,19,False,False,66,30,0,0.0,2.85,3.6,Medium Cost,Expert,Tout Risque
605,Kia,Voiture populaire,2,15561,18091,4,True,False,42,1,0,0.0,2.2,4.0,Medium Cost,Expert,Tout Risque
606,BMW,Berline executive,4,86331,70966,16,False,True,67,17,0,0.0,3.05,3.2,High Cost,Expert,Tout Risque
607,Chevrolet,Voiture populaire,8,2807,89803,6,True,False,36,10,0,0.0,1.65,4.0,Low Cost,Expert,Tiers Plus
608,BMW,Voiture de luxe,2,98630,29843,14,True,True,65,43,2,0.047,3.75,2.6,High Cost,Modéré,Tout Risque
609,Hyundai,Berline executive,12,6597,184174,6,True,False,53,12,1,0.083,1.55,3.0,Low Cost,Modéré,Tiers
610,Nissan,Citadine,13,10041,116351,8,False,False,33,11,2,0.182,1.5,2.4,Low Cost,Modéré,Tiers
611,Nissan,Voiture populaire,3,24426,57090,8,True,True,19,0,0,0.0,2.3,3.2,Medium Cost,Expert,Tout Risque
612,Land Rover,Voiture de luxe,7,276417,140203,26,True,True,62,1,1,1.0,3.7,1.0,High Cost,À risque,Tiers Plus
613,Citroën,SUV,7,16593,82128,11,False,False,47,9,0,0.0,1.9,4.0,Low Cost,Expert,Tiers Plus
614,Chevrolet,Voiture populaire,1,12870,14140,6,True,False,62,22,2,0.091,2.25,3.0,Medium Cost,Modéré,Tiers Plus
615,Citroën,Voiture de luxe,5,51287,73412,10,False,False,49,9,1,0.111,2.55,2.4,Medium Cost,Modéré,Tiers Plus
616,Lamborghini,Voiture populaire,7,101398,81554,21,False,False,65,2,1,0.5,2.85,1.4,Medium Cost,À risque,Tiers
617,Peugeot,Sportive,10,22003,227531,10,True,False,22,2,1,0.5,2.2,1.6,Medium Cost,À risque,Tiers
618,Kia,Berline compact,3,13863,55761,5,False,True,59,2,1,0.5,1.75,1.0,Low Cost,À risque,Tiers
619,Nissan,Berline executive,11,22085,178659,9,False,False,40,9,1,0.111,1.6,2.4,Low Cost,Modéré,Tiers
620,BMW,Berline executive,14,30267,266534,15,False,True,45,1,0,0.0,2.2,3.6,Medium Cost,Expert,Tout Risque
621,Volkswagen,Berline executive,14,13086,270078,8,True,False,72,40,0,0.0,1.9,3.6,Low Cost,Expert,Tiers Plus
622,Ford,Berline compact,2,24002,22377,7,False,False,38,20,2,0.1,2.35,3.2,Medium Cost,Expert,Tout Risque
623,Volkswagen,Sportive,6,27703,47084,8,True,False,71,10,0,0.0,2.65,3.6,Medium Cost,Expert,Tout Risque
624,Nissan,SUV,2,54590,17110,9,False,False,60,41,1,0.024,2.75,3.0,Medium Cost,Modéré,Tiers Plus
625,Kia,Break familial,12,2611,249534,4,True,True,44,26,1,0.038,1.4,2.8,Low Cost,Modéré,Tiers
626,Bentley,Sportive,7,247644,110329,21,True,False,34,16,0,0.0,3.7,4.0,High Cost,Expert,Tout Risque
627,Lamborghini,SUV,4,175766,26767,18,True,False,29,4,0,0.0,4.0,4.0,High Cost,Expert,Tout Risque
628,Land Rover,Sportive,13,107968,147485,25,True,False,20,2,0,0.0,3.25,3.6,High Cost,Expert,Tout Risque
629,Peugeot,SUV,13,19142,145919,11,True,False,69,28,0,0.0,2.0,3.6,Low Cost,Expert,Tiers Plus
630,Lamborghini,Voiture de luxe,5,336135,54153,15,True,False,47,12,0,0.0,4.0,4.0,High Cost,Expert,Tout Risque
631,Porsche,Sportive,1,280969,10777,27,False,False,64,35,0,0.0,4.0,3.8,High Cost,Expert,Tout Risque
632,Lexus,Citadine,2,80856,37871,13,False,True,32,8,0,0.0,3.05,3.6,High Cost,Expert,Tout Risque
633,Kia,Break familial,3,8358,45801,7,False,True,28,4,0,0.0,1.75,3.6,Low Cost,Expert,Tiers Plus
634,Jaguar,Citadine,3,147795,24048,21,False,False,48,6,0,0.0,3.5,4.0,High Cost,Expert,Tout Risque
635,Lamborghini,Voiture de luxe,9,118104,211732,16,True,True,48,18,3,0.167,3.35,2.0,High Cost,À risque,Tiers Plus
636,Kia,SUV,1,25003,19212,7,True,True,41,16,1,0.062,2.7,2.8,Medium Cost,Modéré,Tiers Plus
637,BMW,Berline executive,13,34854,102538,12,False,False,21,2,0,0.0,2.25,3.6,Medium Cost,Expert,Tout Risque
638,Ferrari,Berline compact,1,377539,17043,12,False,True,45,0,0,0.0,3.75,3.6,High Cost,Expert,Tout Risque
639,Mercedes,Voiture populaire,4,28695,53336,11,False,False,43,10,2,0.2,2.55,2.4,Medium Cost,Modéré,Tiers Plus
640,Hyundai,Voiture populaire,10,5515,137763,5,True,False,66,1,0,0.0,1.65,3.6,Low Cost,Expert,Tiers Plus
641,Volkswagen,Berline executive,1,27495,20904,11,False,True,49,28,0,0.0,2.75,3.6,Medium Cost,Expert,Tout Risque
642,Volvo,Sportive,9,28029,99993,11,False,False,54,15,0,0.0,2.55,3.8,Medium Cost,Expert,Tout Risque
643,Kia,Sportive,8,6062,95931,6,False,False,42,1,0,0.0,1.65,4.0,Low Cost,Expert,Tiers Plus
644,Hyundai,SUV,8,4040,156672,6,True,True,51,19,0,0.0,1.75,3.4,Low Cost,Expert,Tiers Plus
645,Dacia,Berline executive,1,16182,19116,9,True,True,48,24,3,0.125,2.5,2.0,Medium Cost,À risque,Tiers
646,Bentley,Break familial,12,89303,284060,16,True,True,56,23,0,0.0,2.95,3.4,Medium Cost,Expert,Tout Risque
647,Ford,Voiture de luxe,13,23404,196020,9,False,True,29,5,0,0.0,1.7,3.6,Low Cost,Expert,Tiers Plus
648,Lamborghini,Voiture de luxe,3,408940,77692,20,True,True,53,24,0,0.0,4.0,3.4,High Cost,Expert,Tout Risque
649,Jaguar,Voiture de luxe,12,85148,265867,16,False,True,49,12,0,0.0,2.85,3.6,Medium Cost,Expert,Tout Risque
650,Bentley,Break familial,10,91093,154408,14,False,False,48,13,1,0.077,2.85,3.2,Medium Cost,Expert,Tout Risque
651,Nissan,Citadine,0,25995,0,9,True,True,49,14,0,0.0,2.85,3.6,Medium Cost,Expert,Tout Risque
652,Citroën,Voiture populaire,8,13227,156224,8,True,True,62,26,0,0.0,1.9,3.4,Low Cost,Expert,Tiers Plus
653,Toyota,Berline executive,7,10009,66980,9,True,False,52,16,1,0.062,2.3,3.0,Medium Cost,Modéré,Tiers Plus
654,Kia,SUV,13,9978,108231,11,False,False,22,0,0,0.0,1.4,4.0,Low Cost,Expert,Tiers Plus
655,Porsche,Voiture de luxe,14,133713,288210,20,False,True,44,24,0,0.0,3.1,3.6,High Cost,Expert,Tout Risque
656,Toyota,Berline executive,0,76303,0,11,False,True,41,10,0,0.0,3.0,3.6,High Cost,Expert,Tout Risque
657,Land Rover,SUV,9,94223,133107,18,True,True,70,46,0,0.0,3.35,3.2,High Cost,Expert,Tout Risque
658,Ford,Voiture populaire,1,35247,16334,9,True,False,50,2,0,0.0,2.85,4.0,Medium Cost,Expert,Tout Risque
659,Kia,Berline compact,4,14358,83767,6,False,True,37,8,1,0.125,1.65,2.0,Low Cost,À risque,Tiers
